desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z
-0.104,-0.513,0.386,-0.104,-0.513,0.386,8.47177e-09,4.8298e-08,1.74551e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.00404e-08,4.67451e-08,7.24932e-09
-0.304,-0.513,0.386,-0.304,-0.513,0.386,2.32019e-08,4.62545e-08,1.19005e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,1.70012e-08,4.8319e-08,6.25244e-09
-0.204,-0.413,0.386,-0.204,-0.413,0.386,5.92522e-09,9.3465e-09,5.19656e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,3.70505e-09,3.96577e-09,4.17347e-08
-0.204,-0.613,0.386,-0.204,-0.613,0.386,2.84018e-09,2.12539e-09,3.48395e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,4.03081e-09,3.71921e-09,4.34621e-08
-0.204,-0.513,0.486,-0.204,-0.513,0.486,2.30528e-09,5.36759e-08,1.39939e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.63055e-09,6.12494e-08,2.03524e-08
-0.204,-0.513,0.286,-0.204,-0.513,0.286,2.79367e-09,6.50473e-08,2.42016e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.52691e-09,5.88361e-08,2.19163e-08
-0.261735,-0.570735,0.328265,-0.261735,-0.570735,0.328265,2.51924e-08,3.03949e-08,4.3958e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,3.51917e-08,3.89203e-08,4.12837e-08
-0.261735,-0.570735,0.443735,-0.261735,-0.570735,0.443735,2.52959e-08,2.93649e-08,4.03457e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,3.56645e-08,3.11649e-08,8.59361e-10
-0.261735,-0.455265,0.328265,-0.261735,-0.455265,0.328265,2.95091e-08,4.02406e-08,1.46785e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.74083e-08,3.31561e-08,1.08117e-08
-0.261735,-0.455265,0.443735,-0.261735,-0.455265,0.443735,2.94264e-08,3.98042e-08,2.05119e-10
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.76037e-08,3.62106e-08,8.38434e-09
-0.146265,-0.570735,0.328265,-0.146265,-0.570735,0.328265,2.31938e-08,3.26613e-08,1.6897e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.65597e-08,3.78049e-08,6.17155e-09
-0.146265,-0.570735,0.443735,-0.146265,-0.570735,0.443735,2.33251e-08,2.9575e-08,5.64509e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,2.65167e-08,3.52193e-08,1.1283e-08
-0.146265,-0.455265,0.328265,-0.146265,-0.455265,0.328265,4.89978e-08,3.3805e-08,6.81682e-09
-0.204,-0.513,0.386,-0.204,-0.513,0.386,3.47566e-08,2.94024e-08,2.80752e-10
-0.146265,-0.455265,0.443735,-0.146265,-0.455265,0.443735,4.96902e-08,4.69364e-08,3.5725e-08
-0.204,-0.513,0.386,-0.204,-0.513,0.386,3.46676e-08,3.47398e-08,4.26267e-08
