desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.004,-0.513,0.586,6.66115e-10,7.52076e-08,5.70277e-12,1.639
-0.204,-0.513,0.586,-0.204,-0.513,0.586,2.73261e-08,7.36016e-08,9.97685e-09,1.655
-0.404,-0.513,0.586,-0.404,-0.513,0.586,3.44652e-08,6.97426e-08,2.5541e-08,1.662
-0.204,-0.513,0.586,-0.204,-0.513,0.586,2.90303e-08,7.3516e-08,1.00137e-08,1.66
-0.204,-0.313,0.586,-0.204,-0.313,0.586,1.50068e-08,1.50268e-08,6.40899e-08,1.652
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.85454e-09,1.06064e-08,6.31873e-08,1.652
-0.204,-0.713,0.586,-0.204,-0.713,0.586,3.51308e-09,9.59507e-09,5.8272e-08,1.643
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.842e-09,1.06217e-08,6.31702e-08,1.642
-0.204,-0.513,0.786,-0.204,-0.513,0.786,2.86997e-09,6.6824e-08,2.09856e-08,1.663
-0.204,-0.513,0.586,-0.204,-0.513,0.586,3.30189e-09,7.68809e-08,8.48619e-09,1.657
-0.204,-0.513,0.386,-0.204,-0.513,0.386,4.02789e-09,9.37849e-08,3.30817e-08,1.654
-0.204,-0.513,0.586,-0.204,-0.513,0.586,3.30386e-09,7.69267e-08,8.53043e-09,1.667
-0.31947,-0.62847,0.47053,-0.31947,-0.62847,0.47053,2.93584e-08,4.22685e-08,5.29794e-08,1.651
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.45525e-08,5.78942e-08,4.37953e-08,1.659
-0.31947,-0.62847,0.70147,-0.31947,-0.62847,0.70147,2.86333e-08,4.56759e-08,4.49003e-08,1.66
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.57624e-08,2.96619e-08,3.28335e-08,1.655
-0.31947,-0.39753,0.47053,-0.31947,-0.39753,0.47053,4.79281e-08,5.89865e-08,9.04863e-09,1.653
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.17066e-08,4.33633e-08,2.43965e-09,1.65
-0.31947,-0.39753,0.70147,-0.31947,-0.39753,0.70147,4.69707e-08,5.60181e-08,2.98095e-09,1.646
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.22417e-08,5.55269e-08,7.14385e-09,1.651
-0.0885299,-0.62847,0.47053,-0.0885299,-0.62847,0.47053,2.92581e-08,4.68114e-08,2.29782e-08,1.64
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.22474e-08,5.5489e-08,7.19505e-09,1.643
-0.0885299,-0.62847,0.70147,-0.0885299,-0.62847,0.70147,3.04972e-08,3.87135e-08,1.98311e-08,1.662
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.17101e-08,4.33052e-08,2.46564e-09,1.666
-0.0885299,-0.39753,0.47053,-0.08853,-0.39753,0.47053,9.47516e-08,1.58288e-08,3.368e-08,1.653
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.58301e-08,2.96681e-08,3.28389e-08,1.648
-0.0885299,-0.39753,0.70147,-0.0885301,-0.39753,0.70147,1.0888e-07,7.2654e-08,3.54851e-08,1.665
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.46252e-08,5.79747e-08,4.37544e-08,1.65
