desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.004,-0.513,0.586,4.59009e-09,2.44644e-09,7.6266e-09,849.15
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.4455e-09,7.12365e-11,4.3158e-09,1.409
-0.404,-0.513,0.586,-0.404,-0.513,0.586,6.80615e-09,1.94742e-09,9.87706e-10,1.409
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.78197e-09,3.30496e-10,4.01068e-09,1.4
-0.204,-0.313,0.586,-0.204,-0.313,0.586,1.08521e-09,6.12985e-09,1.97167e-10,1.42
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.11341e-10,5.81896e-09,4.17487e-10,1.413
-0.204,-0.713,0.586,-0.204,-0.713,0.586,9.76428e-11,4.40527e-09,6.3929e-10,1.4
-0.204,-0.513,0.586,-0.204,-0.513,0.586,3.89092e-10,5.68448e-09,4.15978e-10,1.4
-0.204,-0.513,0.786,-0.204,-0.513,0.786,4.26143e-11,9.92224e-10,5.1711e-09,1.41
-0.204,-0.513,0.586,-0.204,-0.513,0.586,3.04178e-11,7.08235e-10,6.76716e-09,1.421
-0.204,-0.513,0.386,-0.204,-0.513,0.386,6.24941e-11,1.45513e-09,1.37776e-08,1.424
-0.204,-0.513,0.586,-0.204,-0.513,0.586,2.78793e-11,6.49131e-10,7.13861e-09,1.41
-0.31947,-0.62847,0.47053,-0.31947,-0.62847,0.47053,3.42691e-09,4.74298e-09,1.48768e-09,1.42
-0.204,-0.513,0.586,-0.204,-0.513,0.586,6.73201e-09,5.39852e-09,7.78487e-10,1.4
-0.31947,-0.62847,0.70147,-0.31947,-0.62847,0.70147,3.29634e-09,3.47468e-09,1.17042e-09,1.401
-0.204,-0.513,0.586,-0.204,-0.513,0.586,2.81825e-09,5.28249e-09,1.45956e-10,1.421
-0.31947,-0.39753,0.47053,-0.31947,-0.39753,0.47053,5.73477e-09,2.03079e-09,8.87749e-09,1.418
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.47584e-09,1.59297e-09,4.11624e-09,1.4
-0.31947,-0.39753,0.70147,-0.31947,-0.39753,0.70147,5.70253e-09,1.51364e-09,6.57483e-09,1.419
-0.204,-0.513,0.586,-0.204,-0.513,0.586,7.43757e-09,1.92557e-09,5.11496e-09,1.403
-0.0885299,-0.62847,0.47053,-0.08853,-0.62847,0.47053,4.18727e-09,1.41175e-09,1.95723e-09,1.4
-0.204,-0.513,0.586,-0.204,-0.513,0.586,6.59775e-09,1.17481e-09,5.64953e-09,1.425
-0.0885299,-0.62847,0.70147,-0.0885299,-0.62847,0.70147,3.40875e-09,1.0943e-09,2.2725e-09,1.4
-0.204,-0.513,0.586,-0.204,-0.513,0.586,5.27246e-09,1.55464e-09,3.86915e-09,1.4
-0.0885299,-0.39753,0.47053,-0.0885299,-0.39753,0.47053,1.21253e-09,1.67493e-08,2.695e-10,1.424
-0.204,-0.513,0.586,-0.204,-0.513,0.586,2.83703e-09,5.69202e-09,1.53268e-10,1.414
-0.0885299,-0.39753,0.70147,-0.0885299,-0.39753,0.70147,2.00428e-08,1.7533e-08,3.50948e-09,1.397
-0.204,-0.513,0.586,-0.204,-0.513,0.586,7.40888e-09,5.57997e-09,9.30965e-10,1.432
