desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.194,-0.512999,0.586,2.87894e-07,7.54098e-07,9.48302e-08,0.141
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,2.95415e-07,7.53173e-07,1.01583e-07,0.146
-0.214,-0.513,0.586,-0.214,-0.512999,0.586,3.05136e-07,7.51935e-07,1.0991e-07,0.138
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,2.98043e-07,7.52688e-07,1.0303e-07,0.144
-0.204,-0.503,0.586,-0.204,-0.503,0.585999,6.17326e-08,1.14225e-07,6.48667e-07,0.153
-0.204,-0.513,0.586,-0.204,-0.513,0.585999,6.0077e-08,1.08835e-07,6.47168e-07,0.141
-0.204,-0.523,0.586,-0.204,-0.523,0.585999,5.8043e-08,1.0269e-07,6.44588e-07,0.141
-0.204,-0.513,0.586,-0.204,-0.513,0.585999,5.96953e-08,1.08382e-07,6.4672e-07,0.138
-0.204,-0.513,0.596,-0.204,-0.512999,0.596,3.35407e-08,7.80958e-07,7.45649e-08,0.15
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,3.37928e-08,7.86827e-07,8.63978e-08,0.144
-0.204,-0.513,0.576,-0.204,-0.512999,0.576,3.41355e-08,7.94807e-07,9.97108e-08,0.156
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,3.38508e-08,7.88177e-07,8.78574e-08,0.147
-0.209774,-0.518774,0.580226,-0.209774,-0.518773,0.580226,5.42229e-07,5.84836e-07,4.53301e-07,0.153
-0.204,-0.513,0.586,-0.204001,-0.512999,0.586,5.57872e-07,5.92095e-07,4.48926e-07,0.158
-0.209774,-0.518774,0.591774,-0.209774,-0.518773,0.591773,5.56844e-07,3.09551e-07,3.38412e-07,0.141
-0.204,-0.513,0.586,-0.204001,-0.513,0.586,5.70146e-07,3.03842e-07,3.36291e-07,0.141
-0.209774,-0.507226,0.580226,-0.209773,-0.507226,0.580226,4.31272e-07,4.48429e-07,1.79166e-08,0.158
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.27316e-07,4.44369e-07,2.44385e-08,0.144
-0.209774,-0.507226,0.591774,-0.209773,-0.507226,0.591773,4.3819e-07,5.7027e-07,6.83625e-08,0.143
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,4.32682e-07,5.68861e-07,7.27576e-08,0.147
-0.198226,-0.518774,0.580226,-0.198226,-0.518773,0.580226,4.26701e-07,5.6643e-07,7.86047e-08,0.135
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,4.32354e-07,5.68052e-07,7.39426e-08,0.135
-0.198226,-0.518774,0.591774,-0.198226,-0.518773,0.591773,4.2271e-07,4.38838e-07,3.22962e-08,0.133
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.26994e-07,4.42987e-07,2.56587e-08,0.141
-0.198226,-0.507226,0.580226,-0.198227,-0.507226,0.580226,5.86048e-07,2.97778e-07,3.34101e-07,0.142
-0.204,-0.513,0.586,-0.204001,-0.513,0.586,5.72697e-07,3.03573e-07,3.36066e-07,0.151
-0.198226,-0.507226,0.591774,-0.198227,-0.507226,0.591773,5.76794e-07,6.02315e-07,4.43534e-07,0.133
-0.204,-0.513,0.586,-0.204001,-0.512999,0.586,5.60016e-07,5.94504e-07,4.47483e-07,0.151
