desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.104,-0.513,0.586,-0.104,-0.512999,0.586,1.67502e-07,7.63692e-07,3.09659e-08,0.748
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,2.9544e-07,7.53299e-07,1.01564e-07,0.743
-0.304,-0.513,0.586,-0.304,-0.512999,0.586,3.58095e-07,7.37718e-07,1.8588e-07,0.746
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,2.98144e-07,7.52689e-07,1.03065e-07,0.747
-0.204,-0.413,0.586,-0.204,-0.413,0.585999,8.93395e-08,1.52474e-07,6.63939e-07,0.744
-0.204,-0.513,0.586,-0.204,-0.513,0.585999,6.00837e-08,1.08822e-07,6.47177e-07,0.746
-0.204,-0.613,0.586,-0.204,-0.613,0.585999,4.44787e-08,3.56793e-08,6.19255e-07,0.737
-0.204,-0.513,0.586,-0.204,-0.513,0.585999,5.96822e-08,1.08389e-07,6.46644e-07,0.76
-0.204,-0.513,0.686,-0.204,-0.512999,0.686,3.09725e-08,7.2116e-07,5.02186e-08,0.753
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,3.37858e-08,7.86665e-07,8.63909e-08,0.757
-0.204,-0.513,0.486,-0.204,-0.512999,0.486,3.74844e-08,8.72781e-07,2.17595e-07,0.754
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,3.39262e-08,7.89934e-07,5.97629e-08,0.742
-0.261735,-0.570735,0.528265,-0.261735,-0.570735,0.528264,4.07407e-07,5.00561e-07,5.01759e-07,0.737
-0.204,-0.513,0.586,-0.204001,-0.512999,0.586,5.57835e-07,5.92008e-07,4.4895e-07,0.744
-0.261735,-0.570735,0.643735,-0.261735,-0.570735,0.643735,4.25438e-07,3.69025e-07,3.73901e-07,0.742
-0.204,-0.513,0.586,-0.204001,-0.513,0.586,5.69997e-07,3.03772e-07,3.36224e-07,0.745
-0.261735,-0.455265,0.528265,-0.261735,-0.455264,0.528265,4.65876e-07,5.13007e-07,4.55652e-08,0.749
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.27312e-07,4.44438e-07,2.44117e-08,0.74
-0.261735,-0.455265,0.643735,-0.261735,-0.455264,0.643735,4.77305e-07,5.78739e-07,3.36672e-08,0.747
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,4.32594e-07,5.68983e-07,7.26404e-08,0.741
-0.146265,-0.570735,0.528265,-0.146265,-0.570734,0.528265,3.67008e-07,5.33239e-07,1.43932e-07,0.741
-0.204,-0.513,0.586,-0.204,-0.512999,0.586,4.32368e-07,5.68031e-07,7.3976e-08,0.736
-0.146265,-0.570735,0.643735,-0.146265,-0.570735,0.643735,3.75403e-07,4.03008e-07,1.0723e-07,0.75
-0.204,-0.513,0.586,-0.204,-0.513,0.586,4.2697e-07,4.42888e-07,2.5682e-08,0.743
-0.146265,-0.455265,0.528265,-0.146266,-0.455265,0.528265,7.49119e-07,2.43001e-07,3.28186e-07,0.746
-0.204,-0.513,0.586,-0.204001,-0.513,0.586,5.72702e-07,3.03561e-07,3.36047e-07,0.745
-0.146265,-0.455265,0.643735,-0.146266,-0.455264,0.643735,7.85113e-07,6.8951e-07,3.98519e-07,0.753
-0.204,-0.513,0.586,-0.204001,-0.512999,0.586,5.6013e-07,5.9447e-07,4.47538e-07,0.734
