timestamp,vx,vy,vz,vmag
0,-1.19597e-05,-1.19282e-05,-1.19565e-05,2.06948e-05
0.029,7.47862e-05,-4.71564e-07,-4.72762e-07,7.47891e-05
0.078,0.000970533,8.41861e-07,8.2617e-07,0.000970534
0.126,0.00171511,8.04214e-07,6.73575e-07,0.00171511
0.178,0.00402921,7.03432e-08,3.82612e-07,0.00402921
0.227,0.00571913,1.03368e-06,8.9034e-08,0.00571913
0.276,0.00793452,-4.87952e-07,1.85302e-07,0.00793452
0.328,0.0105503,2.08812e-07,2.32261e-09,0.0105503
0.379,0.0135329,-6.87333e-06,8.95456e-07,0.0135329
0.424,0.0145829,1.8587e-06,-2.83292e-07,0.0145829
0.474,0.0170492,5.57024e-07,-1.43179e-07,0.0170492
0.526,0.0199569,-1.97213e-06,1.84442e-07,0.0199569
0.577,0.022875,-1.40152e-05,1.71127e-06,0.022875
0.626,0.0249417,-6.59072e-06,7.43475e-07,0.0249417
0.674,0.0270146,-2.31363e-05,2.6846e-06,0.0270146
0.725,0.0297423,-6.3448e-05,7.71291e-06,0.0297423
0.775,0.0323144,-7.29553e-05,8.75285e-06,0.0323145
0.827,0.0351693,-6.2488e-05,7.29196e-06,0.0351694
0.879,0.0384642,-0.000105416,1.19934e-05,0.0384643
0.926,0.0399507,-5.5927e-05,6.06654e-06,0.0399507
0.976,0.042597,-7.53274e-05,7.90086e-06,0.0425971
1.028,0.0453907,-8.60443e-05,9.00398e-06,0.0453908
1.077,0.0478924,-0.000107813,1.07803e-05,0.0478926
1.124,0.0495144,-4.33522e-05,3.65056e-06,0.0495144
1.176,0.0526034,-0.000100477,9.12498e-06,0.0526035
1.224,0.054515,-4.77092e-05,3.53269e-06,0.054515
1.277,0.0579023,-0.000146065,1.26103e-05,0.0579025
1.329,0.0606265,-0.000158164,1.36898e-05,0.0606267
1.375,0.0623133,-9.535e-05,6.64464e-06,0.0623134
1.425,0.064739,-8.22077e-05,5.28425e-06,0.064739
1.475,0.0673148,-0.000106458,6.46594e-06,0.0673148
1.528,0.0704128,-0.000178558,1.24666e-05,0.070413
1.574,0.072016,-6.9439e-05,2.30458e-06,0.072016
1.629,0.0756416,-0.000234762,1.51094e-05,0.0756419
1.676,0.0776171,-0.000185635,9.42283e-06,0.0776173
1.726,0.0799666,-0.000148656,6.67142e-06,0.0799668
1.778,0.0832223,-0.000330917,1.66636e-05,0.0832229
1.825,0.0846942,-0.000118671,3.04651e-06,0.0846943
1.877,0.0870453,-0.000274957,1.05166e-05,0.0870457
1.927,0.088381,-0.000202069,6.45989e-06,0.0883812
1.975,0.0889515,-0.000115865,3.00904e-07,0.0889515
2.025,0.0893702,-8.24909e-05,-1.21351e-06,0.0893703
2.077,0.0896969,-0.000240641,4.65324e-06,0.0896972
2.127,0.0898228,-0.000168665,1.92562e-06,0.089823
2.178,0.0899352,-0.000304037,5.47056e-06,0.0899358
2.224,0.0898814,-7.4154e-06,-5.00612e-06,0.0898814
2.275,0.0895443,-6.90427e-05,-3.29301e-06,0.0895444
2.328,0.0888006,-0.000191657,1.0675e-06,0.0888008
2.375,0.0874501,-3.36081e-05,-4.06031e-06,0.0874501
2.428,0.0850738,-0.000148282,-4.71082e-07,0.0850739
2.477,0.0828251,-0.000126385,-1.60848e-06,0.0828252
2.527,0.0807065,-7.05513e-05,-2.14904e-06,0.0807065
2.578,0.0778349,-0.000151035,-9.59103e-07,0.0778351
2.626,0.0760756,-1.11937e-05,-2.78371e-06,0.0760756
2.678,0.072924,-0.000122464,-1.15969e-06,0.0729241
2.729,0.0705119,-0.000105263,-8.76672e-07,0.070512
2.78,0.0676738,-0.000132748,-7.59212e-07,0.067674
2.827,0.0659496,-2.52016e-05,-1.53158e-06,0.0659496
2.875,0.0638073,3.07249e-05,-1.94238e-06,0.0638073
2.927,0.060957,-1.64117e-05,-1.22781e-06,0.060957
2.974,0.0590963,6.28104e-05,-1.66418e-06,0.0590963
3.024,0.0565991,5.70996e-05,-1.39196e-06,0.0565991
3.078,0.0529679,-4.58396e-05,-7.07764e-07,0.0529679
3.128,0.0507478,-2.13804e-05,-6.48781e-07,0.0507478
3.179,0.0476846,-5.37864e-05,-4.86274e-07,0.0476846
3.224,0.0466044,4.80014e-05,-7.29177e-07,0.0466044
3.275,0.0438209,3.11278e-05,-5.80666e-07,0.0438209
3.329,0.0405343,-1.82048e-05,-3.57034e-07,0.0405343
3.378,0.0379688,-1.07545e-05,-3.40478e-07,0.0379688
3.426,0.0361781,2.10714e-05,-3.3681e-07,0.0361781
3.478,0.0329685,2.81702e-05,-2.72921e-07,0.0329685
3.528,0.0307481,5.79321e-05,-2.56536e-07,0.0307481
3.574,0.0291076,7.22569e-05,-2.53163e-07,0.0291076
3.629,0.0255354,-3.08091e-06,-1.47263e-07,0.0255354
3.677,0.0232551,2.24993e-06,-1.35675e-07,0.0232551
3.728,0.0207503,-4.19417e-06,-1.15191e-07,0.0207503
3.776,0.0185402,2.11788e-06,-1.02865e-07,0.0185402
3.829,0.0155355,-6.73264e-06,-8.0772e-08,0.0155355
3.878,0.0129704,-2.46437e-06,-6.72097e-08,0.0129704
3.927,0.0109655,-9.39504e-07,-5.6189e-08,0.0109655
3.974,0.00911045,2.45242e-06,-4.66882e-08,0.00911045
4.028,0.00561598,1.19879e-07,-2.84231e-08,0.00561598
timestamp,vx,vy,vz,vmag
0,2.34053e-05,-1.82629e-07,1.11022e-14,2.3406e-05
0.026,-0.000196313,9.55701e-07,-6.52067e-10,0.000196315
0.079,-0.0013778,6.176e-08,-1.69309e-11,0.0013778
0.127,-0.00231162,3.71191e-08,-1.01474e-11,0.00231162
0.18,-0.00515826,-2.64092e-08,-6.43929e-12,0.00515826
0.228,-0.00658658,4.87007e-07,-2.24487e-11,0.00658658
0.28,-0.00971441,-2.34278e-06,1.47959e-10,0.00971441
0.325,-0.0106943,1.70766e-06,-1.94356e-10,0.0106943
0.379,-0.0142671,-5.84113e-06,5.65425e-10,0.0142671
0.426,-0.0157703,6.20557e-07,-3.058e-10,0.0157703
0.476,-0.018332,-2.67226e-06,2.68086e-10,0.018332
0.526,-0.0207284,-2.80783e-07,-7.01172e-10,0.0207284
0.576,-0.0233072,-4.94966e-06,9.06952e-10,0.0233072
0.627,-0.025919,-1.50728e-05,1.03231e-08,0.025919
0.678,-0.0288839,-7.4784e-05,5.96012e-08,0.028884
0.727,-0.0309122,-7.74173e-05,6.56644e-08,0.0309123
0.777,-0.0335869,-7.7032e-05,8.74722e-08,0.033587
0.827,-0.0359106,-5.53455e-05,8.88834e-08,0.0359107
0.876,-0.0382918,-5.56142e-05,1.24142e-07,0.0382919
0.926,-0.0407036,-4.82025e-05,1.3694e-07,0.0407037
