timestamp,vx,vy,vz,vmag
0,-4.11858e-06,-4.15334e-06,-3.93592e-06,7.05014e-06
0.034,0.000311467,-5.90246e-07,-1.68534e-06,0.000311472
0.084,0.00241202,4.55732e-07,3.07676e-07,0.00241202
0.133,0.00470942,6.94572e-07,1.39199e-08,0.00470942
0.182,0.00877742,1.81926e-07,-1.80109e-07,0.00877742
0.234,0.0148557,4.88449e-06,-1.13447e-06,0.0148557
0.283,0.0202385,-1.37866e-06,-5.31849e-07,0.0202385
0.333,0.025061,9.90866e-06,-2.20764e-06,0.025061
0.384,0.0263907,-9.12184e-06,2.09708e-07,0.0263907
0.433,0.0258197,-1.24095e-05,7.56256e-07,0.0258197
0.483,0.0222466,-1.10663e-05,6.6644e-07,0.0222466
0.533,0.0178183,-1.75761e-05,1.58339e-06,0.0178183
0.582,0.0132636,-1.07976e-05,8.66354e-07,0.0132636
timestamp,vx,vy,vz,vmag
0,6.40169e-06,6.37096e-09,-1.05064e-09,6.40169e-06
0.019,-0.000149035,6.43241e-10,-1.66411e-10,0.000149035
0.066,-0.00143059,3.24471e-08,-4.11535e-09,0.00143059
0.116,-0.00382585,6.66743e-07,-8.32077e-08,0.00382585
0.169,-0.00950554,-1.35905e-06,1.69688e-07,0.00950554
0.219,-0.0142913,5.13473e-06,-6.44439e-07,0.0142913
0.27,-0.0210091,-1.08709e-05,1.37746e-06,0.0210091
0.317,-0.0243371,8.54067e-06,-1.11871e-06,0.0243371
0.366,-0.0263086,1.25058e-05,-1.60093e-06,0.0263086
0.418,-0.0260831,-1.65042e-05,2.04783e-06,0.0260831
0.471,-0.0211986,-2.91568e-05,3.8012e-06,0.0211986
0.518,-0.0183601,-1.95742e-05,2.58538e-06,0.0183601
0.568,-0.0131149,-1.34016e-05,1.80826e-06,0.0131149
timestamp,vx,vy,vz,vmag
0,-7.11825e-06,7.39885e-09,-9.87344e-10,7.11826e-06
0.035,-0.000401344,-1.28317e-09,1.5824e-10,0.000401344
0.084,-0.00269187,1.60268e-07,-2.17088e-08,0.00269187
0.134,-0.00519436,5.0098e-07,-6.75655e-08,0.00519436
0.185,-0.0112549,-1.32777e-06,1.80364e-07,0.0112549
0.234,-0.0152857,4.87881e-06,-6.62539e-07,0.0152857
0.282,-0.0202381,-7.32893e-07,1.06507e-07,0.0202381
0.335,-0.0261137,4.42755e-06,-6.50587e-07,0.0261137
0.382,-0.0263997,9.18977e-07,-1.19275e-07,0.0263997
0.435,-0.0255367,-2.62418e-05,3.57649e-06,0.0255367
0.486,-0.0200921,-3.03469e-05,4.33969e-06,0.0200921
0.533,-0.0174254,-1.98288e-05,2.85769e-06,0.0174255
0.581,-0.0132587,-1.02158e-05,1.48751e-06,0.0132587
timestamp,vx,vy,vz,vmag
0,1.89044e-06,-6.43212e-08,6.65925e-08,1.89271e-06
0.047,0.000839368,3.54514e-07,-3.44149e-07,0.000839368
0.1,0.00384152,5.89328e-07,-8.66373e-08,0.00384152
0.148,0.0067534,-3.03352e-07,4.41989e-08,0.0067534
0.199,0.0125476,2.08561e-06,-3.03221e-07,0.0125476
0.251,0.0186972,-4.23983e-06,6.06996e-07,0.0186972
0.297,0.0224425,2.41262e-06,-3.33526e-07,0.0224425
0.346,0.0258169,1.47652e-05,-2.1105e-06,0.0258169
0.397,0.0264164,-5.48357e-06,8.09684e-07,0.0264164
0.449,0.0241746,-1.95414e-05,2.87099e-06,0.0241746
0.5,0.0190091,-2.69745e-05,3.75936e-06,0.0190091
0.548,0.015324,-1.79748e-05,2.47588e-06,0.015324
0.598,0.00998568,-7.11213e-06,9.63615e-07,0.00998568
timestamp,vx,vy,vz,vmag
0,5.18474e-06,5.33183e-09,-7.37321e-10,5.18474e-06
0.016,2.28182e-06,3.83199e-05,-3.17668e-10,3.83878e-05
0.066,7.33141e-08,0.00143664,-2.17199e-08,0.00143664
0.114,-1.61514e-07,0.00325945,-4.87946e-07,0.00325945
0.165,8.15469e-08,0.00735313,2.61729e-07,0.00735313
0.216,7.34677e-07,0.0128838,-3.48916e-06,0.0128838
0.266,5.77379e-07,0.0184655,1.05767e-06,0.0184655
0.317,1.02258e-06,0.0245334,-6.92081e-07,0.0245334
0.366,1.1596e-06,0.0263254,-1.3652e-06,0.0263254
0.415,4.02629e-07,0.0263376,6.96798e-06,0.0263376
0.468,-9.82854e-07,0.0228162,2.02797e-05,0.0228162
0.518,-1.48347e-06,0.0183101,2.3398e-05,0.0183102
0.565,-5.96285e-07,0.0147364,1.24637e-05,0.0147364
timestamp,vx,vy,vz,vmag
0,9.85909e-10,7.90581e-06,-7.07735e-09,7.90582e-06
0.029,2.09852e-10,-0.000265174,-1.2096e-09,0.000265174
0.08,1.10069e-08,-0.00241248,-1.15689e-07,0.00241248
0.13,4.54644e-08,-0.00495252,-4.75256e-07,0.00495252
0.178,2.72146e-08,-0.00877778,-2.85109e-07,0.00877778
0.229,4.76467e-07,-0.0144327,-4.99091e-06,0.0144327
0.277,5.99444e-07,-0.018872,-6.27907e-06,0.018872
0.332,3.53874e-07,-0.0261117,-3.83439e-06,0.0261117
0.382,-2.157e-06,-0.0263622,2.28571e-05,0.0263623
0.431,-1.75866e-06,-0.0256304,1.83826e-05,0.0256304
0.48,-1.2461e-06,-0.0217038,1.31623e-05,0.0217038
0.534,-2.27944e-06,-0.0162799,2.44776e-05,0.0162799
