timestamp,vx,vy,vz,vmag
0,-1.98177e-05,-1.95859e-05,-1.97917e-05,3.41769e-05
0.027,0.000590677,-4.78459e-06,-4.83842e-06,0.000590716
0.077,0.00286683,1.3808e-06,1.05623e-06,0.00286683
0.124,0.00490001,1.45872e-06,6.27076e-07,0.00490001
0.177,0.0110228,8.64081e-07,1.96191e-07,0.0110228
0.229,0.016916,-9.513e-06,1.24313e-06,0.016916
0.276,0.0215297,-3.82693e-05,4.90148e-06,0.0215298
0.325,0.0267565,-5.41969e-05,6.84804e-06,0.0267565
0.38,0.0364358,-0.000124735,1.55325e-05,0.036436
0.425,0.0389461,-7.09631e-05,8.39278e-06,0.0389462
0.479,0.0480854,-0.000176189,2.08423e-05,0.0480858
0.527,0.0523801,-0.000128483,1.43914e-05,0.0523803
0.58,0.061306,-0.000288013,3.22086e-05,0.0613066
0.628,0.0653826,-0.00019751,2.06063e-05,0.0653829
0.68,0.073823,-0.000395023,4.08485e-05,0.0738241
0.726,0.0765054,-0.000178723,1.60768e-05,0.0765057
0.778,0.082805,-0.000345783,3.11783e-05,0.0828057
0.827,0.0857458,-0.000206982,1.61239e-05,0.0857461
0.88,0.0880288,-0.000446492,3.64592e-05,0.08803
0.929,0.0887253,-0.000249639,1.71636e-05,0.0887256
0.98,0.0893742,-0.000417214,2.92125e-05,0.0893752
1.024,0.0893612,9.0513e-06,-7.30031e-06,0.0893612
1.079,0.0898068,-0.000324426,1.79306e-05,0.0898074
1.125,0.0897862,-1.78525e-05,-5.61651e-06,0.0897862
1.18,0.0900075,-0.000389969,1.9674e-05,0.0900084
1.225,0.0899176,-8.7818e-06,-6.46749e-06,0.0899176
1.279,0.0900355,-0.000310264,1.16727e-05,0.0900361
1.326,0.0899772,-5.32998e-05,-3.76519e-06,0.0899772
1.378,0.0900311,-0.000232507,5.26858e-06,0.0900314
1.425,0.0899783,-3.16028e-06,-6.57958e-06,0.0899783
1.477,0.0900163,-0.000155601,2.41606e-07,0.0900164
1.527,0.0900064,-9.99138e-05,-1.92793e-06,0.0900064
1.579,0.0900494,-0.00030808,5.67375e-06,0.09005
1.625,0.0899851,-2.19047e-06,-6.05747e-06,0.0899851
1.68,0.0900597,-0.000384686,6.70012e-06,0.0900605
1.729,0.0900237,-0.000197456,6.40883e-07,0.0900239
1.775,0.0899838,-2.28207e-06,-5.90821e-06,0.0899838
1.828,0.0900113,-0.000148721,-1.43154e-06,0.0900114
1.878,0.0900206,-0.000232084,-2.90101e-07,0.0900209
1.929,0.0900162,-0.000197774,-7.4867e-07,0.0900164
1.978,0.0900161,-0.000232235,-9.67967e-07,0.0900164
2.028,0.0900056,-0.000148922,-2.09611e-06,0.0900058
2.079,0.0900211,-0.00030913,-4.51577e-07,0.0900216
2.13,0.0900145,-0.000247112,-1.01642e-06,0.0900148
2.18,0.0900232,-0.000386135,-3.54441e-07,0.090024
2.226,0.0896806,-4.10173e-05,-3.32395e-06,0.0896806
2.278,0.0880914,-0.000193276,-2.27551e-06,0.0880916
2.331,0.0853421,-0.000149433,-1.97906e-06,0.0853422
2.377,0.0811941,-1.90002e-05,-2.72522e-06,0.0811941
2.427,0.0764252,3.99905e-05,-2.45255e-06,0.0764252
2.476,0.0710449,9.57761e-05,-2.33579e-06,0.071045
2.527,0.0649342,8.09228e-05,-1.8272e-06,0.0649343
2.578,0.0577542,4.89956e-05,-1.44112e-06,0.0577542
2.628,0.0522909,7.38263e-05,-1.17366e-06,0.0522909
2.677,0.0461834,9.10493e-05,-9.83535e-07,0.0461835
2.727,0.0404216,9.47271e-05,-7.72409e-07,0.0404217
2.778,0.0330274,0.000100837,-5.76621e-07,0.0330276
2.827,0.0279673,0.000107181,-4.60867e-07,0.0279675
2.877,0.021288,7.07335e-05,-3.31688e-07,0.0212881
2.928,0.0147572,3.08874e-05,-2.16286e-07,0.0147573
timestamp,vx,vy,vz,vmag
0,0.000119113,5.23655e-07,-1.77635e-09,0.000119114
0.013,-1.59566e-05,1.82262e-07,-1.07351e-07,1.5958e-05
0.062,-0.00163703,-1.72424e-07,5.69799e-07,0.00163703
0.112,-0.00400448,7.1693e-07,3.4317e-11,0.00400448
0.162,-0.00831125,-1.13751e-06,1.34315e-10,0.00831125
0.21,-0.0123714,4.16678e-06,-3.42937e-10,0.0123714
0.264,-0.0203123,-1.01464e-05,1.42181e-09,0.0203123
0.312,-0.0248797,-7.85217e-07,-6.32328e-10,0.0248797
0.362,-0.0310154,-6.60838e-05,3.69299e-08,0.0310155
0.412,-0.0370093,-0.000128833,6.27842e-08,0.0370095
0.461,-0.0426582,-0.000157412,1.21532e-07,0.0426585
