timestamp,vx,vy,vz,vmag
0,-3.96041e-06,-6.48135e-06,-6.49494e-06,9.99385e-06
0.051,0.000559624,1.23794e-06,1.24083e-06,0.000559627
0.101,0.00164589,6.98113e-07,5.86522e-07,0.00164589
0.147,0.00255089,3.10666e-07,3.2169e-07,0.00255089
0.199,0.00501959,1.16901e-07,-2.45286e-07,0.00501959
0.253,0.00751143,-1.10974e-06,-5.31586e-07,0.00751143
0.301,0.0100816,-2.51804e-06,-7.05756e-07,0.0100816
0.347,0.0113934,-6.52305e-07,-1.13633e-06,0.0113934
0.399,0.014404,-4.65608e-06,-9.75561e-07,0.014404
0.45,0.0166812,-6.96397e-06,-9.5497e-07,0.0166812
0.5,0.0187583,-1.20974e-05,-5.14197e-07,0.0187583
0.546,0.0189976,8.25754e-07,-2.24794e-06,0.0189976
0.598,0.0181757,-9.73141e-06,-7.90623e-07,0.0181757
0.647,0.0169495,-8.25747e-06,-8.3522e-07,0.0169495
0.696,0.0152571,-4.98922e-06,-1.08146e-06,0.0152571
0.746,0.013145,-4.4822e-06,-9.22237e-07,0.013145
0.797,0.0106259,-3.3531e-06,-7.87958e-07,0.0106259
0.847,0.00845092,-2.64889e-06,-6.33665e-07,0.00845092
0.9,0.00508722,-1.201e-06,-4.33681e-07,0.00508722
timestamp,vx,vy,vz,vmag
0,1.19923e-05,9.23834e-09,-2.54384e-09,1.19923e-05
0.027,-0.000235279,1.65146e-09,-5.71587e-10,0.000235279
0.078,-0.00126214,4.80433e-08,-5.96545e-09,0.00126214
0.125,-0.0020773,8.05086e-08,-1.0025e-08,0.0020773
0.175,-0.00391021,1.75104e-07,-2.19647e-08,0.00391021
0.227,-0.00640815,6.24506e-07,-7.77978e-08,0.00640815
0.278,-0.00915977,-1.18633e-06,1.47811e-07,0.00915977
0.331,-0.0116737,-1.16075e-06,1.45523e-07,0.0116737
0.381,-0.0145527,-6.95595e-06,8.7515e-07,0.0145527
0.427,-0.0158397,-4.91023e-07,5.62697e-08,0.0158397
0.479,-0.0184354,-1.16854e-05,1.49051e-06,0.0184354
0.528,-0.0191183,-3.22303e-06,3.96384e-07,0.0191183
0.578,-0.0182138,-1.12251e-05,1.45834e-06,0.0182138
0.626,-0.0172925,-6.65215e-06,8.46474e-07,0.0172925
0.677,-0.0151656,-7.53593e-06,9.89974e-07,0.0151656
0.728,-0.0130573,-6.96756e-06,9.28045e-07,0.0130573
0.781,-0.00996511,-5.99293e-06,8.1376e-07,0.00996512
0.828,-0.00854482,-3.1565e-06,4.32996e-07,0.00854482
0.877,-0.00618759,-6.77307e-07,9.89269e-08,0.00618759
timestamp,vx,vy,vz,vmag
0,-2.25776e-05,1.97037e-08,-2.63922e-09,2.25777e-05
0.028,-0.00027531,2.28406e-09,-3.27105e-10,0.00027531
0.076,-0.00102984,3.52866e-08,-4.81148e-09,0.00102984
0.128,-0.00242713,9.04321e-10,-8.47322e-11,0.00242713
0.176,-0.00415905,1.23057e-07,-1.6772e-08,0.00415905
0.23,-0.00694326,1.05432e-07,-1.371e-08,0.00694326
0.278,-0.00915952,-1.18333e-06,1.60807e-07,0.00915952
0.328,-0.011282,-2.25971e-07,3.04921e-08,0.011282
0.378,-0.0139773,-4.19748e-06,5.74908e-07,0.0139773
0.427,-0.01584,-4.89424e-07,6.17853e-08,0.01584
0.48,-0.0186644,-1.46827e-05,2.03812e-06,0.0186644
0.525,-0.0189543,2.41341e-06,-3.58948e-07,0.0189543
0.58,-0.017963,-1.9416e-05,2.74569e-06,0.017963
0.626,-0.0172992,-6.63905e-06,9.19264e-07,0.0172992
0.678,-0.0149322,-9.65454e-06,1.3845e-06,0.0149322
0.726,-0.0134131,-4.679e-06,6.75061e-07,0.0134131
0.777,-0.0107978,-3.29019e-06,4.84732e-07,0.0107978
0.829,-0.00837576,-3.75098e-06,5.56007e-07,0.00837576
0.876,-0.0064826,-4.49538e-07,7.35373e-08,0.0064826
timestamp,vx,vy,vz,vmag
0,-1.62464e-05,1.42033e-08,-2.05598e-09,1.62465e-05
0.031,0.000121618,2.40836e-09,-3.69182e-10,0.000121618
0.081,0.000966264,1.81441e-08,-2.69089e-09,0.000966264
0.134,0.00227262,6.04628e-08,-8.92192e-09,0.00227262
