timestamp,vx,vy,vz,vmag
0,-5.82981e-05,-5.65551e-05,-5.80994e-05,9.98634e-05
0.028,0.00135324,-7.72867e-06,-7.95178e-06,0.00135328
0.074,0.00400803,4.36354e-06,3.66247e-06,0.00400804
0.127,0.0115607,-1.03525e-05,3.16672e-06,0.0115607
0.176,0.0208187,-5.13047e-05,7.45073e-06,0.0208188
0.225,0.0302829,-7.5107e-05,9.58557e-06,0.030283
0.278,0.0458758,-0.000197149,2.39362e-05,0.0458762
0.328,0.0562731,-0.000214613,2.46301e-05,0.0562735
0.374,0.0635585,-0.000182332,1.91996e-05,0.0635587
0.426,0.0758352,-0.000239575,2.45899e-05,0.0758356
0.479,0.0831817,-0.000438581,4.44642e-05,0.0831828
0.529,0.0860815,-0.000307453,2.81578e-05,0.0860821
0.575,0.0870334,-0.000118711,5.48072e-06,0.0870335
0.625,0.0882268,-8.68423e-05,1.59489e-06,0.0882269
0.675,0.088944,-6.25117e-05,-2.42324e-06,0.088944
0.728,0.0895183,-0.000181687,8.69691e-06,0.0895185
0.781,0.0898367,-0.000386859,2.489e-05,0.0898375
0.829,0.0898819,-0.000211247,9.20985e-06,0.0898821
0.878,0.0899511,-0.00024174,9.64174e-06,0.0899514
0.929,0.0899888,-0.00020377,6.71033e-06,0.089989
0.976,0.0899673,-8.4992e-05,-3.61347e-06,0.0899673
1.027,0.0899927,-0.000103899,-1.86547e-06,0.0899928
1.082,0.0900708,-0.000355101,1.31299e-05,0.0900715
1.128,0.0900193,-0.000150948,4.08721e-07,0.0900194
1.181,0.0900755,-0.000370294,1.14642e-05,0.0900763
1.227,0.0900087,-0.000101863,-3.13419e-06,0.0900088
1.278,0.090038,-0.000233518,2.36918e-06,0.0900383
1.325,0.0899854,-4.26757e-06,-8.12783e-06,0.0899854
1.379,0.0900515,-0.00030993,4.30278e-06,0.090052
1.428,0.0900176,-0.000150483,-1.95904e-06,0.0900178
1.475,0.089984,-4.38229e-06,-8.05738e-06,0.089984
1.529,0.0900246,-0.000199425,-8.8831e-07,0.0900248
1.577,0.0900119,-0.00015738,-3.22024e-06,0.0900121
1.624,0.0899769,4.48795e-05,-8.48503e-06,0.0899769
1.68,0.0900468,-0.000387286,1.8261e-06,0.0900476
1.729,0.090017,-0.000199776,-2.32197e-06,0.0900172
1.779,0.0900282,-0.000310919,-1.08644e-06,0.0900287
1.825,0.0899854,-3.941e-06,-6.3522e-06,0.0899854
1.877,0.0900029,-0.000157624,-4.20504e-06,0.090003
1.927,0.0899973,-0.000101984,-4.6109e-06,0.0899974
1.977,0.0899999,-0.000157669,-4.32966e-06,0.0900001
2.028,0.0900006,-0.000151095,-4.05222e-06,0.0900007
2.079,0.0900106,-0.000311445,-3.21301e-06,0.0900111
2.128,0.0899978,-0.000151135,-4.06306e-06,0.089998
2.176,0.0899889,-8.07431e-05,-4.63108e-06,0.089989
2.227,0.0892695,-7.93257e-05,-4.1962e-06,0.0892696
2.278,0.0861708,-0.000157004,-3.84291e-06,0.086171
2.324,0.0835406,0.000128889,-4.12172e-06,0.0835407
2.381,0.0688511,-3.81737e-05,-2.92623e-06,0.0688512
2.426,0.0637101,0.000170974,-2.81413e-06,0.0637103
2.477,0.0507366,0.000181057,-2.14831e-06,0.050737
2.525,0.0420741,0.000202299,-1.73909e-06,0.0420746
2.579,0.0249236,0.000151477,-9.98464e-07,0.024924
timestamp,vx,vy,vz,vmag
0,9.9526e-05,1.12813e-06,-4.18744e-09,9.95324e-05
0.025,-0.000804947,5.22361e-07,-1.94382e-09,0.000804947
0.08,-0.00746355,1.69797e-06,5.56999e-11,0.00746355
0.13,-0.0133118,-1.96301e-05,4.08438e-09,0.0133118
0.177,-0.0220464,-6.0512e-05,1.09906e-08,0.0220465
0.225,-0.0302531,-7.65145e-05,2.46291e-08,0.0302532
0.275,-0.0416417,-0.000136435,6.92724e-08,0.0416419
0.327,-0.0552342,-0.000198069,1.82076e-07,0.0552345
0.378,-0.0688712,-0.000370259,5.02044e-07,0.0688722
0.428,-0.0771226,-0.000300619,6.37681e-07,0.0771232
0.479,-0.0830002,-0.000443691,1.38495e-06,0.0830013
0.525,-0.0848741,-0.000156683,9.20799e-07,0.0848743
0.578,-0.0874196,-0.000325913,2.14977e-06,0.0874202
0.63,-0.0886279,-0.000304806,2.47726e-06,0.0886284
0.676,-0.0889653,-0.000132964,2.27104e-06,0.0889654
0.727,-0.089412,-0.000134192,2.53655e-06,0.0894121
0.778,-0.0896463,-0.000252776,4.37658e-06,0.0896467
0.827,-0.0897782,-0.000114033,3.29469e-06,0.0897783
0.878,-0.0898468,-0.000239698,5.67802e-06,0.0898471
0.927,-0.0899047,-0.000104666,4.09968e-06,0.0899048
0.978,-0.0899138,-0.000233686,7.09787e-06,0.0899141
1.03,-0.0899312,-0.00024709,7.5801e-06,0.0899316
1.079,-0.0899233,-0.000307483,1.02575e-05,0.0899239
1.129,-0.0899468,-0.000196544,8.06155e-06,0.089947
1.179,-0.0899258,-0.000306163,1.22916e-05,0.0899263
1.226,-0.0899736,-4.89804e-05,5.37974e-06,0.0899737
1.278,-0.0899377,-0.000228927,1.20025e-05,0.089938
1.328,-0.0899557,-0.000146359,9.37224e-06,0.0899559
1.377,-0.0899509,-0.000152068,1.08901e-05,0.089951
1.425,-0.0899854,4.14712e-07,4.74844e-06,0.0899854
1.478,-0.0899311,-0.00022808,1.574e-05,0.0899314
1.531,-0.0899327,-0.000227821,1.58061e-05,0.089933
1.578,-0.0899274,-0.000227743,1.77272e-05,0.0899277
