timestamp,vx,vy,vz,vmag
0,-4.7567e-06,-4.75745e-06,-4.50721e-06,8.09781e-06
0.029,0.000533865,-1.23372e-06,-2.5812e-06,0.000533873
0.08,0.00482357,3.01649e-07,6.09307e-07,0.00482357
0.128,0.00893476,-3.12776e-06,9.70852e-07,0.00893476
0.179,0.0188119,-4.8789e-05,7.10407e-06,0.018812
0.229,0.0278458,-5.92532e-05,8.62321e-06,0.0278459
0.278,0.0319454,-5.08639e-05,7.4181e-06,0.0319454
0.333,0.0331296,-4.99681e-05,7.27772e-06,0.0331296
0.38,0.0259886,1.8652e-05,-1.76394e-06,0.0259886
0.431,0.0168898,3.34389e-05,-3.88925e-06,0.0168899
timestamp,vx,vy,vz,vmag
0,7.91108e-06,4.18842e-08,-5.19003e-09,7.91119e-06
0.026,-0.0010181,-1.27204e-07,1.60693e-08,0.0010181
0.078,-0.00630831,4.22792e-07,-5.16202e-08,0.00630831
0.128,-0.0121339,-1.60791e-05,2.07641e-06,0.0121339
0.176,-0.0207775,-5.48201e-05,7.03879e-06,0.0207776
0.228,-0.0301844,-6.69206e-05,8.65213e-06,0.0301845
0.277,-0.0329239,-6.83272e-05,9.01991e-06,0.032924
0.329,-0.0327914,-3.54509e-05,4.69153e-06,0.0327914
0.375,-0.0274582,3.08983e-05,-4.05151e-06,0.0274582
timestamp,vx,vy,vz,vmag
0,-1.14047e-05,6.20485e-08,-8.1941e-09,1.14049e-05
0.028,-0.0010249,-1.19271e-07,1.6064e-08,0.0010249
0.077,-0.00457978,1.86202e-07,-2.63434e-08,0.00457978
0.13,-0.0121331,-1.60488e-05,2.24768e-06,0.0121331
0.18,-0.0232667,-6.97056e-05,9.70762e-06,0.0232668
0.232,-0.0312866,-7.44911e-05,1.04642e-05,0.0312866
0.278,-0.0326975,-5.85594e-05,8.3812e-06,0.0326976
0.328,-0.032507,-2.44218e-05,3.51086e-06,0.032507
0.381,-0.0222646,1.88204e-05,-2.66806e-06,0.0222646
0.432,-0.0138664,3.05714e-05,-4.36852e-06,0.0138664
timestamp,vx,vy,vz,vmag
0,-8.69912e-06,4.60358e-08,-6.5972e-09,8.69924e-06
0.018,0.000260555,-2.33943e-08,3.42842e-09,0.000260555
0.068,0.00385499,-3.03968e-07,4.39363e-08,0.00385499
0.118,0.00857274,-1.19286e-06,1.59584e-07,0.00857274
0.165,0.014493,-2.52368e-05,3.6004e-06,0.014493
0.217,0.026337,-5.94195e-05,8.52599e-06,0.0263371
0.27,0.0326475,-8.67418e-05,1.21798e-05,0.0326476
0.317,0.0336542,-4.53051e-05,6.30295e-06,0.0336542
0.371,0.026977,-9.84686e-07,1.08028e-07,0.026977
0.416,0.0215288,4.32124e-05,-6.05981e-06,0.0215288
timestamp,vx,vy,vz,vmag
0,8.27995e-06,4.50231e-08,-6.30412e-09,8.28008e-06
0.027,2.19935e-06,0.00119104,1.10044e-08,0.00119104
0.075,2.23882e-07,0.00458003,-6.52634e-07,0.00458003
0.127,4.85663e-07,0.0115559,1.04264e-05,0.0115559
0.178,-2.00979e-06,0.0233031,5.75656e-05,0.0233031
0.228,-6.17777e-07,0.0302176,5.43047e-05,0.0302177
0.278,-1.04841e-06,0.033193,6.36072e-05,0.0331931
0.325,3.30645e-06,0.0331821,1.74229e-05,0.0331821
0.378,5.66401e-06,0.0242817,-2.16483e-05,0.0242817
0.426,6.0519e-06,0.0166935,-3.77974e-05,0.0166935
timestamp,vx,vy,vz,vmag
0,7.74795e-09,1.15165e-05,-6.17971e-08,1.15167e-05
0.055,-1.72456e-08,-0.0016794,1.84242e-07,0.0016794
0.105,6.455e-08,-0.00605327,-6.68818e-07,0.00605327
0.155,-1.60459e-06,-0.0127494,1.70217e-05,0.0127494
0.205,-4.74437e-06,-0.0227402,5.01995e-05,0.0227402
0.256,-5.24626e-06,-0.0305912,5.57563e-05,0.0305912
0.307,-5.89723e-06,-0.0335517,6.30606e-05,0.0335517
0.359,-1.96488e-06,-0.0312164,2.10363e-05,0.0312164
0.404,2.99921e-06,-0.0255909,-3.19801e-05,0.0255909
timestamp,vx,vy,vz,vmag
0,4.38211e-09,-1.00044e-05,-4.68039e-08,1.00045e-05
0.039,-1.21975e-08,-0.00119283,1.31221e-07,0.00119283
0.092,4.97293e-08,-0.00745807,-5.41585e-07,0.00745807
0.138,-8.60902e-07,-0.010967,9.42198e-06,0.010967
0.19,-5.49187e-06,-0.0232835,5.98933e-05,0.0232836
0.238,-4.62747e-06,-0.0290967,5.05694e-05,0.0290968
0.287,-3.80297e-06,-0.0324796,4.19053e-05,0.0324796
0.339,-2.07613e-06,-0.0323231,2.28848e-05,0.0323231
0.388,2.1733e-06,-0.0254279,-2.39099e-05,0.0254279
0.438,3.03001e-06,-0.0167992,-3.33587e-05,0.0167992
timestamp,vx,vy,vz,vmag
0,-2.95995e-07,-7.0243e-06,-3.24211e-08,7.03061e-06
0.029,1.44902e-06,0.00153055,1.7498e-07,0.00153055
0.079,3.9631e-08,0.00688326,-4.44382e-07,0.00688326
0.126,-8.58121e-07,0.0109707,9.42548e-06,0.0109707
0.178,-5.42413e-06,0.0233026,5.98247e-05,0.0233027
0.226,-4.59149e-06,0.0291117,5.05252e-05,0.0291118
0.277,-5.36995e-06,0.0329596,5.86209e-05,0.0329597
0.326,-2.1346e-06,0.0330919,2.32522e-05,0.0330919
0.377,1.97089e-06,0.0253387,-2.15845e-05,0.0253387
timestamp,vx,vy,vz,vmag
0,4.86038e-09,1.13732e-05,-5.31039e-08,1.13733e-05
0.025,-1.14033e-08,5.36448e-06,0.000850714,0.000850731
0.077,9.95387e-08,1.37694e-06,0.00573177,0.00573177
0.127,-1.02277e-06,-1.0892e-05,0.0115529,0.0115529
0.177,-3.94506e-06,-5.82207e-05,0.0220388,0.0220389
0.225,-2.6017e-06,-4.88003e-05,0.0285467,0.0285468
0.277,-3.21763e-06,-6.12334e-05,0.0329482,0.0329483
0.327,-1.35511e-06,-1.80969e-05,0.032325,0.032325
0.378,8.64376e-07,2.98375e-05,0.0233166,0.0233166
0.428,1.6737e-06,4.07369e-05,0.0153288,0.0153288
timestamp,vx,vy,vz,vmag
0,1.73445e-09,4.03848e-08,6.96814e-06,6.96826e-06
0.041,-7.59558e-09,-1.62345e-07,-0.00118978,0.00118978
0.09,1.11945e-08,2.58456e-07,-0.0051567,0.0051567
0.141,-6.05341e-07,-1.40948e-05,-0.0115559,0.0115559
0.189,-2.10544e-06,-4.90212e-05,-0.0195542,0.0195543
0.241,-2.81052e-06,-6.54357e-05,-0.0296628,0.0296628
0.29,-2.6243e-06,-6.10986e-05,-0.0327225,0.0327226
0.341,-1.33684e-06,-3.1121e-05,-0.0329971,0.0329971
0.39,1.25663e-06,2.9265e-05,-0.0263916,0.0263916
0.442,1.67909e-06,3.90996e-05,-0.0148718,0.0148719
