timestamp,vx,vy,vz,vmag
0,-1.96725e-05,-1.944e-05,-1.96464e-05,3.3925e-05
0.027,0.000590713,-4.75518e-06,-4.80925e-06,0.000590751
0.077,0.00286682,1.34261e-06,1.01766e-06,0.00286682
0.127,0.00577766,7.6481e-07,5.05751e-07,0.00577766
0.176,0.0103987,1.07787e-06,7.19292e-08,0.0103987
0.226,0.0155741,-2.50501e-06,1.92184e-07,0.0155741
0.276,0.0215297,-3.84947e-05,4.67264e-06,0.0215298
0.329,0.0287249,-7.69247e-05,9.40176e-06,0.028725
0.378,0.0349873,-0.000104285,1.25315e-05,0.0349874
0.43,0.0414944,-0.000116943,1.35591e-05,0.0414946
0.481,0.0488214,-0.000192726,2.22978e-05,0.0488218
0.525,0.0513445,-9.70953e-05,1.00586e-05,0.0513446
0.579,0.0605607,-0.000255956,2.77307e-05,0.0605612
0.629,0.0659051,-0.000222157,2.2611e-05,0.0659055
0.676,0.0708165,-0.00020359,1.89192e-05,0.0708168
0.726,0.0765054,-0.00017952,1.52673e-05,0.0765056
0.777,0.0822328,-0.000284022,2.39052e-05,0.0822332
0.827,0.0857458,-0.000207875,1.52166e-05,0.085746
0.878,0.0877029,-0.000308594,2.24307e-05,0.0877035
0.93,0.0888245,-0.0002944,2.02511e-05,0.0888249
0.981,0.0893694,-0.000402811,2.69672e-05,0.0893703
1.03,0.0896324,-0.000269897,1.50464e-05,0.0896328
1.079,0.0898068,-0.000325361,1.69801e-05,0.0898074
1.128,0.0893186,-0.000144812,3.19679e-06,0.0893187
1.178,0.0874445,-0.000189568,5.02098e-06,0.0874447
1.231,0.08437,-0.000143239,2.8051e-06,0.0843701
1.277,0.080074,-1.481e-05,-6.33263e-06,0.080074
1.325,0.0760324,0.000110755,-1.31284e-05,0.0760325
1.377,0.0690548,5.08728e-05,-8.72071e-06,0.0690548
1.426,0.0640618,0.000106775,-1.07702e-05,0.0640619
1.478,0.056385,5.00452e-05,-6.78861e-06,0.0563851
1.526,0.0519051,0.000109998,-9.03921e-06,0.0519052
1.577,0.0447873,8.88854e-05,-7.14216e-06,0.0447873
1.626,0.0395291,0.000102334,-7.05247e-06,0.0395292
1.678,0.0316224,9.55445e-05,-5.91094e-06,0.0316225
1.726,0.027072,0.000106888,-6.01782e-06,0.0270722
1.778,0.0191544,5.75624e-05,-3.39538e-06,0.0191545
1.829,0.0127896,2.58552e-05,-1.70481e-06,0.0127896
timestamp,vx,vy,vz,vmag
0,0.000106358,4.66206e-07,-2.46867e-08,0.000106359
0.003,6.44015e-05,3.54317e-07,-1.87681e-08,6.44025e-05
0.059,-0.00183719,1.4015e-08,-2.60714e-10,0.00183719
0.107,-0.00375814,6.56128e-07,-2.58203e-08,0.00375814
0.159,-0.00878746,-1.50893e-06,6.08791e-08,0.00878746
0.206,-0.012372,4.1345e-06,-1.67241e-07,0.012372
0.259,-0.0197236,-7.19756e-06,3.01439e-07,0.0197236
0.311,-0.0260204,-4.62744e-06,1.70411e-07,0.0260204
0.36,-0.0322443,-9.26133e-05,4.23778e-06,0.0322445
0.408,-0.0369826,-0.00012757,5.79293e-06,0.0369828
0.457,-0.0426255,-0.000155852,7.41004e-06,0.0426258
0.51,-0.0505424,-0.000181747,9.01143e-06,0.0505427
0.557,-0.0550388,-0.000170901,9.31324e-06,0.055039
0.607,-0.0611901,-0.000176427,1.00052e-05,0.0611904
0.659,-0.068761,-0.000299033,1.8324e-05,0.0687617
0.708,-0.0742237,-0.000262308,1.68076e-05,0.0742241
0.757,-0.0790501,-0.000255133,1.83893e-05,0.0790505
0.809,-0.0845737,-0.000341449,2.48331e-05,0.0845744
0.856,-0.0862912,-0.000172355,1.55244e-05,0.0862913
0.909,-0.0880603,-0.000304814,2.59166e-05,0.0880609
0.96,-0.0888538,-0.000366826,3.35779e-05,0.0888546
1.009,-0.0892576,-0.000272762,2.68235e-05,0.089258
1.056,-0.0895012,-9.26624e-05,1.37838e-05,0.0895012
1.109,-0.0896425,-0.00025257,2.81132e-05,0.0896428
1.154,-0.0891665,6.94877e-05,-3.31574e-07,0.0891666
1.21,-0.0862555,-0.00024822,2.99812e-05,0.0862559
1.257,-0.0831493,-2.23513e-05,8.3707e-06,0.0831493
1.31,-0.0766938,-0.000128769,1.88604e-05,0.0766939
1.36,-0.0709216,-6.95945e-05,1.26603e-05,0.0709216
1.408,-0.0664267,2.98944e-05,1.13782e-06,0.0664267
1.459,-0.0596982,2.69917e-05,6.93949e-07,0.0596982
1.51,-0.0531545,8.9984e-06,1.98873e-06,0.0531545
1.56,-0.0467981,3.56715e-05,-1.88221e-06,0.0467981
1.61,-0.0407948,3.77353e-05,-2.75324e-06,0.0407948
1.656,-0.0369704,0.000108166,-1.207e-05,0.0369706
1.707,-0.0301776,0.000105715,-1.24856e-05,0.0301778
1.758,-0.023208,8.17154e-05,-9.82915e-06,0.0232082
1.807,-0.0175552,5.08802e-05,-6.04766e-06,0.0175553
1.856,-0.012205,3.21117e-05,-3.79425e-06,0.012205
timestamp,vx,vy,vz,vmag
0,-4.1902e-05,1.8391e-07,-2.28065e-08,4.19024e-05
0.027,-0.000605747,4.88413e-08,-6.1219e-09,0.000605747
0.078,-0.00315157,3.32066e-07,-4.52425e-08,0.00315157
0.129,-0.00636086,-7.8111e-08,1.11534e-08,0.00636086
0.176,-0.0103982,8.85413e-07,-1.21494e-07,0.0103982
0.228,-0.0164624,-7.11435e-06,1.03486e-06,0.0164624
0.276,-0.0214993,-3.8021e-05,5.3683e-06,0.0214993
0.328,-0.0281768,-7.06884e-05,1.00092e-05,0.0281769
0.38,-0.0363378,-0.000123969,1.78701e-05,0.0363381
0.428,-0.040398,-9.77536e-05,1.44366e-05,0.0403981
0.475,-0.045062,-9.16477e-05,1.39675e-05,0.0450621
0.525,-0.0512692,-9.56382e-05,1.49379e-05,0.0512693
0.577,-0.0589223,-0.000187383,2.9951e-05,0.0589226
0.625,-0.0637179,-0.00012344,2.06551e-05,0.063718
0.675,-0.0699457,-0.000151825,2.6639e-05,0.0699459
0.725,-0.0759217,-0.000143791,2.60991e-05,0.0759219
0.778,-0.0825396,-0.000340145,6.17708e-05,0.0825403
0.826,-0.0853354,-0.000165233,3.25462e-05,0.0853356
0.878,-0.0874704,-0.000301269,5.95241e-05,0.087471
0.927,-0.0884069,-0.000158201,3.42729e-05,0.0884071
0.979,-0.0890429,-0.000336036,7.04352e-05,0.0890436
1.026,-0.0893939,-8.01307e-05,2.18532e-05,0.0893939
1.077,-0.0896008,-0.00016844,4.12573e-05,0.089601
1.125,-0.0894493,-4.40148e-06,7.85721e-06,0.0894493
1.181,-0.0868178,-0.00030547,7.18349e-05,0.0868184
1.231,-0.0842785,-0.000137162,3.53958e-05,0.0842786
1.277,-0.0800799,-9.86543e-06,9.22134e-06,0.0800799
1.325,-0.0761294,0.000112152,-1.87944e-05,0.0761295
1.375,-0.0705232,0.000140413,-2.6006e-05,0.0705234
1.428,-0.063157,5.59057e-05,-8.4492e-06,0.063157
1.477,-0.0571689,8.29754e-05,-1.52366e-05,0.057169
1.528,-0.0509704,7.35182e-05,-1.4327e-05,0.0509704
1.578,-0.044125,6.92443e-05,-1.39716e-05,0.044125
1.627,-0.039097,9.0576e-05,-1.99757e-05,0.0390971
1.676,-0.0331752,0.000111979,-2.5898e-05,0.0331754
1.73,-0.0250897,7.7627e-05,-1.82622e-05,0.0250899
1.775,-0.0214205,8.27466e-05,-1.96236e-05,0.0214206
1.825,-0.0150052,4.2538e-05,-9.95948e-06,0.0150053
timestamp,vx,vy,vz,vmag
0,-6.30463e-05,2.71448e-07,-6.50227e-08,6.3047e-05
0.008,-1.04494e-05,1.62876e-07,-3.90252e-08,1.04508e-05
0.06,0.00143647,2.55489e-08,-6.47445e-09,0.00143647
0.109,0.00350926,5.91157e-07,-1.49956e-07,0.00350926
0.164,0.0092643,-1.64877e-06,4.16662e-07,0.0092643
0.213,0.0144397,3.25627e-06,-8.24729e-07,0.0144397
0.258,0.0173817,-1.07777e-05,2.62049e-06,0.0173817
0.31,0.0243328,-5.07475e-05,1.25985e-05,0.0243329
0.362,0.0316888,-9.80097e-05,2.40546e-05,0.0316889
0.413,0.0382494,-0.000104894,2.55966e-05,0.0382496
0.462,0.0440069,-0.000143851,3.43278e-05,0.0440071
0.514,0.0506635,-0.000160542,3.81316e-05,0.0506638
0.562,0.0564673,-0.000211165,4.87139e-05,0.0564677
0.61,0.0613153,-0.00016694,3.79371e-05,0.0613155
0.658,0.0663306,-0.000136292,2.9466e-05,0.0663307
0.71,0.0737974,-0.000218424,4.71785e-05,0.0737978
0.762,0.0803227,-0.000348539,7.29691e-05,0.0803235
0.813,0.0852942,-0.000379841,7.88737e-05,0.0852951
0.862,0.0871156,-0.000335851,6.56397e-05,0.0871163
0.908,0.0877545,-8.58493e-05,1.26181e-05,0.0877545
0.961,0.0889406,-0.000242998,4.24895e-05,0.0889409
1.012,0.0894694,-0.000269018,4.69899e-05,0.0894699
1.062,0.0897358,-0.000279085,4.58056e-05,0.0897362
1.114,0.0898708,-0.000292454,4.80807e-05,0.0898713
1.159,0.0888763,-5.12051e-05,1.80545e-06,0.0888763
1.212,0.0866221,-0.000191698,2.70727e-05,0.0866223
1.262,0.0823086,-0.000123535,1.43151e-05,0.0823086
1.31,0.0782572,1.10235e-05,-8.19932e-06,0.0782572
1.359,0.0732332,8.59209e-05,-1.991e-05,0.0732333
1.414,0.0653051,-3.66929e-05,1.21754e-06,0.0653051
1.462,0.0596837,2.4702e-05,-8.00832e-06,0.0596837
1.511,0.0543151,5.88428e-05,-1.25175e-05,0.0543151
1.561,0.0480332,7.24351e-05,-1.36797e-05,0.0480332
1.614,0.0407692,3.93921e-05,-7.85441e-06,0.0407692
1.662,0.0349771,7.72071e-05,-1.26724e-05,0.0349771
1.713,0.0282985,8.08479e-05,-1.25446e-05,0.0282986
1.763,0.0218675,6.48205e-05,-9.93228e-06,0.0218676
1.812,0.0162823,3.50734e-05,-5.52017e-06,0.0162823
1.862,0.010448,2.38166e-05,-3.72791e-06,0.0104481
timestamp,vx,vy,vz,vmag
0,2.46665e-05,1.07167e-07,-1.58831e-08,2.46668e-05
0.026,8.69892e-06,0.00051048,-7.82956e-09,0.000510554
0.079,-1.1213e-06,0.00344149,-3.31445e-07,0.00344149
0.126,-6.99481e-07,0.0054845,-3.40166e-07,0.0054845
0.175,-1.88842e-07,0.0097745,-1.03819e-06,0.0097745
0.228,4.02639e-07,0.0164654,-2.55984e-06,0.0164654
0.279,-3.74971e-07,0.0235946,9.23315e-06,0.0235946
0.328,-1.06666e-06,0.0282084,1.80726e-05,0.0282084
0.377,-7.28998e-06,0.0342421,8.57788e-05,0.0342422
0.43,-1.2456e-05,0.0414753,0.000142331,0.0414755
0.483,-1.53014e-05,0.0487801,0.000172541,0.0487804
0.529,-1.26627e-05,0.0533829,0.000144492,0.0533831
0.579,-2.04707e-05,0.060509,0.000224106,0.0605094
0.629,-1.76299e-05,0.0658626,0.000193641,0.0658628
0.678,-2.44958e-05,0.072265,0.000259907,0.0722654
0.726,-1.42133e-05,0.0764761,0.000155506,0.0764763
0.78,-4.03793e-05,0.0838716,0.000407094,0.0838726
0.828,-2.0775e-05,0.0859936,0.000213227,0.0859939
0.881,-3.84537e-05,0.0879643,0.000373872,0.0879651
0.927,-1.4061e-05,0.0885122,0.000140512,0.0885123
0.98,-3.87967e-05,0.0893277,0.000361733,0.0893284
1.026,-7.47704e-06,0.0894531,7.26783e-05,0.0894531
1.077,-1.69794e-05,0.0897189,0.000152089,0.0897191
1.13,-2.28783e-05,0.0892197,0.000204153,0.0892199
1.179,-2.63133e-05,0.0872342,0.00022526,0.0872345
1.225,5.00075e-06,0.0856456,-4.26593e-05,0.0856456
1.278,-7.78716e-06,0.0794926,6.2655e-05,0.0794926
1.33,-6.29777e-06,0.0739044,5.28453e-05,0.0739044
1.38,-9.0135e-06,0.0670374,7.15625e-05,0.0670375
1.426,1.16674e-05,0.064081,-9.41264e-05,0.0640811
1.478,5.5868e-06,0.0563991,-4.46762e-05,0.0563991
1.526,1.24342e-05,0.0519203,-9.68223e-05,0.0519204
1.578,7.95548e-06,0.0440743,-6.06591e-05,0.0440744
1.629,8.16936e-06,0.0380124,-6.04588e-05,0.0380124
1.677,1.23226e-05,0.0323625,-9.17983e-05,0.0323626
1.724,1.41866e-05,0.0281051,-0.000105608,0.0281054
1.779,5.8552e-06,0.0184279,-4.27056e-05,0.018428
1.826,4.67694e-06,0.0144263,-3.40713e-05,0.0144263
timestamp,vx,vy,vz,vmag
0,5.54949e-08,0.000106404,-4.08381e-07,0.000106405
0.013,3.3305e-08,3.64578e-05,-2.45117e-07,3.64586e-05
0.065,3.05519e-09,-0.00143637,-2.26492e-08,0.00143637
0.113,6.44105e-08,-0.00326657,-4.76441e-07,0.00326657
0.167,-1.7703e-07,-0.00878749,1.31332e-06,0.00878749
0.217,4.85513e-07,-0.0139251,-3.60809e-06,0.0139251
0.267,-8.3603e-07,-0.0197238,6.26393e-06,0.0197238
0.314,5.24985e-07,-0.0237386,-3.97371e-06,0.0237386
0.366,-7.40137e-06,-0.0310041,5.69367e-05,0.0310042
0.415,-1.28961e-05,-0.0363965,9.87645e-05,0.0363967
0.465,-1.753e-05,-0.0426319,0.000135683,0.0426322
0.515,-1.59291e-05,-0.0487553,0.000124637,0.0487555
0.566,-2.13587e-05,-0.0556865,0.000171502,0.0556868
0.616,-2.16067e-05,-0.0618011,0.000175129,0.0618013
0.667,-3.13004e-05,-0.0687852,0.000260218,0.0687857
0.719,-3.36332e-05,-0.0754376,0.000281532,0.0754382
0.768,-4.0995e-05,-0.0806037,0.000353783,0.0806045
0.819,-3.73594e-05,-0.0850492,0.000325882,0.0850499
0.865,-2.138e-05,-0.0865127,0.000198586,0.0865129
0.915,-1.77135e-05,-0.087904,0.000169709,0.0879041
0.967,-2.77218e-05,-0.088852,0.000265463,0.0888524
1.014,-7.63199e-06,-0.0892107,8.74059e-05,0.0892108
1.067,-2.41373e-05,-0.08957,0.000242952,0.0895704
1.114,-4.91956e-06,-0.0896934,6.62324e-05,0.0896934
1.169,-2.26515e-05,-0.0882255,0.000235849,0.0882259
1.214,5.01519e-09,-0.0871166,2.02494e-05,0.0871166
1.266,-4.38908e-06,-0.0827042,6.17096e-05,0.0827043
1.315,3.02707e-06,-0.0782699,-1.24631e-05,0.0782699
1.366,2.48839e-06,-0.0721178,-9.39199e-06,0.0721178
1.412,1.64064e-05,-0.0687193,-0.000150776,0.0687194
1.465,8.36282e-06,-0.0609534,-7.36785e-05,0.0609535
1.515,8.25964e-06,-0.0549463,-7.53602e-05,0.0549463
1.569,3.98868e-06,-0.0467961,-3.4526e-05,0.0467961
1.617,5.05531e-06,-0.0413934,-4.72398e-05,0.0413934
1.666,7.63233e-06,-0.0356619,-7.6222e-05,0.035662
1.716,8.22819e-06,-0.0295503,-8.41699e-05,0.0295504
1.764,8.11198e-06,-0.0244801,-8.37872e-05,0.0244803
1.819,2.44184e-06,-0.0156751,-2.45657e-05,0.0156751
1.869,1.84876e-06,-0.00987835,-1.87576e-05,0.00987836
timestamp,vx,vy,vz,vmag
0,1.51454e-08,-4.18606e-05,-1.57774e-07,4.18609e-05
0.027,4.01002e-09,-0.000605736,-4.19183e-08,0.000605736
0.079,3.01163e-08,-0.0034395,-3.25586e-07,0.0034395
