timestamp,vx,vy,vz,vmag
0,-2.74207e-06,-2.76521e-06,-2.62046e-06,4.69383e-06
0.025,0.000424114,-1.10674e-06,-1.80671e-06,0.000424119
0.077,0.00286586,3.51896e-07,4.2588e-08,0.00286586
0.127,0.00577709,1.23371e-07,-8.74496e-08,0.00577709
0.175,0.00977426,9.27807e-07,-3.51932e-07,0.00977426
0.225,0.0150991,5.92839e-06,-1.22149e-06,0.0150991
0.277,0.0220402,-4.2013e-06,-7.24953e-08,0.0220402
0.326,0.0256169,1.06627e-05,-2.15435e-06,0.0256169
0.376,0.0264254,-3.11214e-06,-3.75097e-07,0.0264254
0.427,0.0251729,-1.67507e-05,1.54774e-06,0.0251729
0.477,0.0208532,-1.67182e-05,1.56715e-06,0.0208532
0.526,0.01681,-1.75056e-05,1.72879e-06,0.01681
0.575,0.0122069,-9.23538e-06,7.984e-07,0.0122069
timestamp,vx,vy,vz,vmag
0,4.73596e-06,4.74909e-09,-7.5312e-10,4.73597e-06
0.027,-0.000594361,3.76188e-10,-1.27098e-10,0.000594361
0.078,-0.00315407,3.18535e-07,-3.98568e-08,0.00315407
0.126,-0.00548488,3.58942e-07,-4.45453e-08,0.00548488
0.179,-0.0122708,-1.91514e-08,1.60116e-10,0.0122708
0.225,-0.0151041,6.32846e-06,-7.90194e-07,0.0151041
0.275,-0.0206888,3.91068e-06,-4.94969e-07,0.0206888
0.325,-0.0253676,1.43123e-05,-1.85158e-06,0.0253676
0.377,-0.0263806,-1.18164e-05,1.51531e-06,0.0263806
0.426,-0.0253189,-1.20816e-05,1.456e-06,0.0253189
0.476,-0.0213915,-1.11794e-05,1.41335e-06,0.0213915
0.526,-0.0167959,-1.69416e-05,2.25491e-06,0.0167959
0.578,-0.010397,-9.00963e-06,1.22707e-06,0.010397
timestamp,vx,vy,vz,vmag
0,-5.76578e-06,5.99498e-09,-8.00093e-10,5.76579e-06
0.028,-0.00035742,-6.13587e-10,7.07878e-11,0.00035742
0.078,-0.002692,1.60305e-07,-2.17136e-08,0.002692
0.128,-0.00519443,5.00943e-07,-6.75606e-08,0.00519443
0.18,-0.0118744,-1.69095e-06,2.29586e-07,0.0118744
0.226,-0.0144339,5.78789e-06,-7.87687e-07,0.0144339
0.276,-0.0202381,-7.33338e-07,1.06537e-07,0.0202381
0.329,-0.0261136,4.42723e-06,-6.50545e-07,0.0261136
0.376,-0.0263995,9.18819e-07,-1.19255e-07,0.0263995
0.428,-0.0256284,-2.13788e-05,2.8975e-06,0.0256285
0.477,-0.0217036,-1.5285e-05,2.12713e-06,0.0217036
0.528,-0.0170423,-2.28251e-05,3.29712e-06,0.0170423
0.578,-0.0114421,-1.14779e-05,1.68992e-06,0.0114421
timestamp,vx,vy,vz,vmag
0,-5.26764e-06,5.47374e-09,-7.99338e-10,5.26764e-06
0.029,0.000765513,4.54814e-10,-6.67577e-11,0.000765513
0.075,0.00229033,2.00652e-07,-2.94776e-08,0.00229033
0.128,0.00606975,3.4534e-08,-5.44609e-09,0.00606975
0.177,0.0110226,5.16723e-07,-7.42659e-08,0.0110226
0.228,0.0164245,2.95079e-06,-4.39258e-07,0.0164245
0.276,0.0213629,1.34752e-07,-1.48067e-08,0.0213629
0.327,0.0258769,8.39588e-06,-1.18782e-06,0.0258769
0.376,0.0264249,-2.3722e-06,3.4381e-07,0.0264249
0.427,0.0251723,-1.60191e-05,2.38937e-06,0.0251724
0.48,0.0192096,-3.13691e-05,4.36809e-06,0.0192097
0.528,0.0160128,-2.17984e-05,3.00994e-06,0.0160129
0.582,0.00920272,-9.08419e-06,1.22294e-06,0.00920273
timestamp,vx,vy,vz,vmag
0,5.76105e-06,5.92362e-09,-8.19178e-10,5.76105e-06
0.028,2.36797e-07,0.000188147,-1.86351e-10,0.000188147
0.076,-2.1891e-07,0.0021758,-6.902e-08,0.0021758
0.128,2.8647e-08,0.0049775,-6.90353e-07,0.0049775
0.179,2.03405e-07,0.0106381,1.64443e-06,0.0106381
0.224,9.59479e-07,0.0133756,-4.63974e-06,0.0133756
0.273,1.11539e-06,0.01843,-3.17115e-06,0.01843
0.325,1.71718e-06,0.0247787,-5.78409e-06,0.0247787
0.374,1.62906e-06,0.026341,-3.95709e-06,0.026341
0.423,9.48683e-07,0.0262055,3.55692e-06,0.0262055
0.473,7.19661e-07,0.0235656,4.76171e-06,0.0235656
0.526,-1.01292e-06,0.0179667,1.99461e-05,0.0179667
0.577,-6.66744e-07,0.0119728,1.30863e-05,0.0119728
timestamp,vx,vy,vz,vmag
0,3.06147e-07,6.99145e-06,-6.37139e-09,6.99816e-06
0.024,-4.42785e-11,-0.000187866,5.65115e-10,0.000187866
0.071,4.4243e-09,-0.00192768,-4.66243e-08,0.00192768
0.122,5.93969e-08,-0.00451714,-6.21484e-07,0.00451714
0.171,-7.51085e-08,-0.00893991,7.87083e-07,0.00893991
0.221,4.28644e-07,-0.0138337,-4.49516e-06,0.0138337
0.27,-4.72035e-09,-0.0190762,7.53961e-08,0.0190762
0.32,6.9087e-07,-0.024335,-7.36609e-06,0.024335
0.37,3.64659e-07,-0.0263418,-3.83384e-06,0.0263418
0.419,-3.70927e-07,-0.0262032,3.7518e-06,0.0262032
0.471,-1.22739e-06,-0.0226197,1.28973e-05,0.0226197
0.519,-1.00089e-06,-0.0191778,1.06451e-05,0.0191778
0.57,-1.00556e-06,-0.0136939,1.08331e-05,0.0136939
timestamp,vx,vy,vz,vmag
0,-2.46999e-07,-5.7511e-06,-5.2134e-09,5.7564e-06
0.024,1.08912e-06,-0.000344051,-1.95441e-09,0.000344053
0.077,2.2048e-08,-0.00286553,-2.37913e-07,0.00286553
0.128,3.01103e-09,-0.00606944,-3.0183e-08,0.00606944
0.178,1.85894e-08,-0.0116466,-2.04254e-07,0.0116466
0.227,3.23428e-07,-0.0159849,-3.48267e-06,0.0159849
0.275,3.09877e-07,-0.020688,-3.36058e-06,0.020688
0.326,8.87551e-07,-0.0256235,-9.72043e-06,0.0256235
0.379,-2.40298e-06,-0.0263053,2.6226e-05,0.0263053
0.429,-1.94711e-06,-0.0248506,2.10566e-05,0.0248506
0.478,-1.65019e-06,-0.0202971,1.81407e-05,0.0202971
0.526,-1.31395e-06,-0.0168042,1.45382e-05,0.0168042
0.576,-6.82169e-07,-0.0116044,7.59756e-06,0.0116044
timestamp,vx,vy,vz,vmag
0,-2.39047e-07,-5.67283e-06,-5.11386e-09,5.67787e-06
0.022,1.12579e-06,0.000129374,-1.05307e-09,0.000129379
0.071,3.29232e-09,0.00167908,-3.65221e-08,0.00167908
0.12,5.11446e-08,0.00382545,-5.69778e-07,0.00382545
0.172,-7.01753e-08,0.00894011,7.80804e-07,0.00894011
0.219,4.31418e-07,0.0124629,-4.79552e-06,0.0124629
0.271,-9.31867e-09,0.0190762,8.00947e-08,0.0190762
0.321,6.71404e-07,0.0243325,-7.34957e-06,0.0243325
0.372,-2.82851e-07,0.0263791,3.08525e-06,0.0263791
0.422,-1.25549e-06,0.0260917,1.4025e-05,0.0260917
0.474,-1.89951e-06,0.0216842,2.08801e-05,0.0216842
0.52,-9.66748e-07,0.0191817,1.06062e-05,0.0191817
0.571,-9.99982e-07,0.0136979,1.08375e-05,0.0136979
timestamp,vx,vy,vz,vmag
0,2.4695e-07,5.74997e-06,-5.19467e-09,5.75527e-06
0.028,-1.19671e-06,1.32042e-06,0.00068059,0.000680592
0.079,9.87162e-08,2.97535e-07,0.0034416,0.0034416
0.125,2.74678e-08,7.04136e-07,0.00519211,0.00519211
0.176,-1.14104e-08,1.49177e-06,0.0103988,0.0103988
0.227,3.74284e-08,5.37112e-06,0.0159848,0.0159848
0.278,-5.31663e-07,-5.97876e-06,0.0227138,0.0227138
0.325,3.30688e-07,1.68256e-05,0.0253639,0.0253639
0.378,-1.29932e-06,-2.00579e-05,0.026345,0.026345
0.426,-8.89962e-07,-1.06361e-05,0.0253235,0.0253235
0.476,-8.36895e-07,-9.98463e-06,0.0213963,0.0213963
0.526,-1.01844e-06,-1.63199e-05,0.0168028,0.0168028
0.575,-6.03992e-07,-8.20272e-06,0.0122037,0.0122037
timestamp,vx,vy,vz,vmag
0,2.32886e-10,5.4224e-09,4.73877e-06,4.73877e-06
0.029,-5.74818e-11,4.89209e-10,-0.00076553,0.00076553
0.08,1.81885e-08,4.23499e-07,-0.0037296,0.0037296
0.126,1.59329e-08,3.70969e-07,-0.0054847,0.0054847
0.176,3.63672e-08,8.46855e-07,-0.0103987,0.0103987
0.229,8.36385e-08,1.94765e-06,-0.0168669,0.0168669
0.279,-4.86591e-07,-1.13294e-05,-0.0233913,0.0233914
0.331,4.51767e-08,1.05189e-06,-0.0266578,0.0266578
0.377,-5.25466e-07,-1.22344e-05,-0.0263864,0.0263864
0.426,-5.30524e-07,-1.23521e-05,-0.0253245,0.0253245
0.476,-4.96504e-07,-1.15601e-05,-0.0213969,0.0213969
0.527,-8.67379e-07,-2.01956e-05,-0.0164056,0.0164056
0.579,-4.13218e-07,-9.62103e-06,-0.00980103,0.00980103
timestamp,vx,vy,vz,vmag
0,2.19719e-10,5.11595e-09,-4.73693e-06,4.73694e-06
0.027,2.34562e-11,5.46385e-10,-0.000596672,0.000596672
0.077,1.24306e-08,2.89433e-07,-0.00286551,0.00286551
0.127,8.67798e-09,2.02057e-07,-0.0057769,0.0057769
0.177,2.32116e-08,5.40457e-07,-0.0110225,0.0110225
0.225,2.83776e-07,6.6074e-06,-0.0151008,0.0151008
0.277,-1.62508e-07,-3.78382e-06,-0.0220394,0.0220394
0.325,6.46065e-07,1.50429e-05,-0.0253608,0.0253608
0.375,3.14873e-07,7.33147e-06,-0.0264638,0.0264638
0.427,-7.23305e-07,-1.68413e-05,-0.0251705,0.0251705
0.479,-1.18635e-06,-2.76229e-05,-0.0197534,0.0197534
