desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.194,-0.513,0.586,-0.194346,-0.513,0.586,0.000345801,1.27998e-07,2.9693e-08,0.951
-0.204,-0.513,0.586,-0.203773,-0.513,0.586,0.000226957,1.02964e-07,1.34887e-08,0.996
-0.214,-0.513,0.586,-0.213773,-0.513,0.586,0.000227006,1.02817e-07,1.46141e-08,0.977
-0.204,-0.513,0.586,-0.204384,-0.513,0.586,0.000384249,1.47408e-07,2.0793e-08,0.94
-0.204,-0.503,0.586,-0.204,-0.503227,0.586,1.62715e-08,0.000226928,8.87808e-08,0.99
-0.204,-0.513,0.586,-0.204,-0.512616,0.586,1.2028e-08,0.00038433,1.27922e-07,0.926
-0.204,-0.523,0.586,-0.204,-0.522616,0.586,1.16179e-08,0.00038441,1.27418e-07,0.93
-0.204,-0.513,0.586,-0.204,-0.51328,0.586,9.63391e-09,0.000280133,1.05574e-07,0.971
-0.204,-0.513,0.596,-0.204,-0.513,0.595773,4.53316e-09,1.13155e-07,0.000226963,0.991
-0.204,-0.513,0.586,-0.204,-0.513,0.586227,4.57501e-09,1.06524e-07,0.00022692,0.978
-0.204,-0.513,0.576,-0.204,-0.513,0.576384,6.70266e-09,1.56064e-07,0.000384354,0.94
-0.204,-0.513,0.586,-0.204,-0.513,0.58572,5.55952e-09,1.29447e-07,0.000280164,0.967
-0.209774,-0.518774,0.580226,-0.209612,-0.518612,0.580388,0.000161852,0.000161666,0.000161834,0.972
-0.204,-0.513,0.586,-0.204162,-0.513162,0.585838,0.00016166,0.000161847,0.000161677,0.968
-0.209774,-0.518774,0.591774,-0.209628,-0.518628,0.591628,0.000145666,0.000145536,0.000145538,0.987
-0.204,-0.513,0.586,-0.204162,-0.513162,0.586162,0.000161659,0.000161801,0.000161807,0.971
-0.209774,-0.507226,0.580226,-0.209594,-0.507406,0.580406,0.000179658,0.000179826,0.00017975,0.963
-0.204,-0.513,0.586,-0.20418,-0.51282,0.58582,0.000179798,0.000179643,0.000179719,0.963
-0.209774,-0.507226,0.591774,-0.209552,-0.507448,0.591552,0.0002218,0.000222,0.000221884,0.925
-0.204,-0.513,0.586,-0.204162,-0.512838,0.586162,0.000161816,0.000161652,0.000161757,0.976
-0.198226,-0.518774,0.580226,-0.198372,-0.518628,0.580372,0.000145666,0.000145517,0.000145613,0.985
-0.204,-0.513,0.586,-0.203854,-0.513146,0.585854,0.00014551,0.00014566,0.000145564,0.976
-0.198226,-0.518774,0.591774,-0.198406,-0.518594,0.591594,0.000179807,0.000179655,0.000179733,0.962
-0.204,-0.513,0.586,-0.20382,-0.51318,0.58618,0.000179647,0.0001798,0.000179727,0.969
-0.198226,-0.507226,0.580226,-0.198357,-0.507358,0.580358,0.000130948,0.000131075,0.000131081,0.997
-0.204,-0.513,0.586,-0.203838,-0.512838,0.585838,0.000161847,0.000161703,0.000161698,0.978
-0.198226,-0.507226,0.591774,-0.198388,-0.507388,0.591612,0.000161665,0.000161856,0.000161692,0.972
-0.204,-0.513,0.586,-0.203869,-0.512869,0.586131,0.000131091,0.000130932,0.000131075,0.995
