desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.004,-0.513,0.586,-0.00428942,-0.513,0.586,0.000289422,2.07829e-07,2.20268e-09,4.107
-0.204,-0.513,0.586,-0.20371,-0.513,0.586,0.000289509,2.06736e-07,2.65075e-08,4.097
-0.404,-0.513,0.586,-0.403678,-0.513,0.586,0.000321808,2.09037e-07,7.46467e-08,4.077
-0.204,-0.513,0.586,-0.204397,-0.513,0.586,0.000396904,2.39075e-07,3.46371e-08,4.077
-0.204,-0.313,0.586,-0.204,-0.313322,0.586,4.47163e-08,0.000321596,1.80568e-07,4.076
-0.204,-0.513,0.586,-0.204,-0.512643,0.586,1.7836e-08,0.000357326,1.88096e-07,4.077
-0.204,-0.713,0.586,-0.204,-0.712678,0.586,1.0011e-08,0.000321706,1.64173e-07,4.081
-0.204,-0.513,0.586,-0.204,-0.513321,0.586,1.60624e-08,0.000321483,1.77334e-07,4.075
-0.204,-0.513,0.786,-0.204,-0.513,0.785678,8.52372e-09,2.04027e-07,0.000321579,4.078
-0.204,-0.513,0.586,-0.204,-0.513,0.586321,9.73584e-09,2.26688e-07,0.000321489,4.08
-0.204,-0.513,0.386,-0.204,-0.513,0.386289,1.22843e-08,2.86027e-07,0.000289457,4.098
-0.204,-0.513,0.586,-0.204,-0.513,0.585678,9.88258e-09,2.30105e-07,0.000321598,4.079
-0.31947,-0.62847,0.47053,-0.319284,-0.628285,0.470716,0.000185746,0.000185531,0.000185809,4.078
-0.204,-0.513,0.586,-0.204185,-0.513186,0.585815,0.000185465,0.000185794,0.000185494,4.079
-0.31947,-0.62847,0.70147,-0.319264,-0.628264,0.701264,0.000206394,0.000206161,0.000206171,4.08
-0.204,-0.513,0.586,-0.204185,-0.513186,0.586186,0.000185488,0.000185738,0.000185749,4.079
-0.31947,-0.39753,0.47053,-0.319264,-0.397736,0.470736,0.000206193,0.000206531,0.000206321,4.076
-0.204,-0.513,0.586,-0.204135,-0.512865,0.585865,0.000135439,0.000135241,0.000135338,4.122
-0.31947,-0.39753,0.70147,-0.319285,-0.397716,0.701284,0.000185538,0.000185845,0.000185675,4.079
-0.204,-0.513,0.586,-0.204206,-0.512794,0.586206,0.000206416,0.000206109,0.000206305,4.083
-0.0885299,-0.62847,0.47053,-0.0887158,-0.628284,0.470716,0.000185829,0.000185613,0.00018581,4.077
-0.204,-0.513,0.586,-0.203814,-0.513186,0.585814,0.000185547,0.000185837,0.00018565,4.08
-0.0885299,-0.62847,0.70147,-0.0887157,-0.628284,0.701284,0.000185759,0.000185563,0.000185624,4.076
-0.204,-0.513,0.586,-0.203814,-0.513186,0.586186,0.000185553,0.000185791,0.000185678,4.096
-0.0885299,-0.39753,0.47053,-0.0887153,-0.397716,0.470716,0.0001854,0.000185758,0.000185818,4.088
-0.204,-0.513,0.586,-0.203849,-0.51285,0.58585,0.000150535,0.00015031,0.000150302,4.117
-0.0885299,-0.39753,0.70147,-0.0887588,-0.397759,0.701241,0.00022884,0.000229494,0.000229108,4.075
-0.204,-0.513,0.586,-0.203833,-0.512833,0.586167,0.000167248,0.000166929,0.000167215,4.108
