desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,time
-0.104,-0.513,0.586,-0.105515,-0.513012,0.586001,0.0015148,1.16171e-05,6.84186e-07,1.527
-0.204,-0.513,0.586,-0.202479,-0.513012,0.586001,0.00152131,1.17145e-05,1.39378e-06,1.53
-0.304,-0.513,0.586,-0.302475,-0.513012,0.586003,0.00152501,1.15148e-05,2.69335e-06,1.534
-0.204,-0.513,0.586,-0.205512,-0.513011,0.586002,0.00151204,1.14951e-05,1.76342e-06,1.55
-0.204,-0.413,0.586,-0.204001,-0.414105,0.586008,1.0748e-06,0.0011053,7.73615e-06,1.571
-0.204,-0.513,0.586,-0.204001,-0.511769,0.586008,8.15616e-07,0.0012308,8.37125e-06,1.563
-0.204,-0.613,0.586,-0.204001,-0.61131,0.586011,7.8086e-07,0.00168962,1.05055e-05,1.534
-0.204,-0.513,0.586,-0.204001,-0.514514,0.58601,8.75099e-07,0.00151405,9.90403e-06,1.53
-0.204,-0.513,0.686,-0.204,-0.513011,0.684482,4.82577e-07,1.13918e-05,0.00151819,1.527
-0.204,-0.513,0.586,-0.204,-0.51301,0.587228,4.28124e-07,9.9684e-06,0.00122812,1.564
-0.204,-0.513,0.486,-0.204001,-0.513016,0.487516,6.95108e-07,1.61848e-05,0.00151555,1.528
-0.204,-0.513,0.586,-0.204001,-0.513012,0.584481,5.30291e-07,1.23472e-05,0.0015186,1.528
-0.261735,-0.570735,0.528265,-0.260852,-0.569867,0.529149,0.000882846,0.000868372,0.000883812,1.527
-0.204,-0.513,0.586,-0.204866,-0.513887,0.585133,0.000865722,0.000886697,0.000867318,1.529
-0.261735,-0.570735,0.643735,-0.260754,-0.569767,0.642767,0.00098129,0.000967734,0.00096785,1.527
-0.204,-0.513,0.586,-0.204868,-0.513881,0.586881,0.000867705,0.000880931,0.000881429,1.531
-0.261735,-0.455265,0.528265,-0.261031,-0.455982,0.528975,0.00070433,0.000716856,0.000709957,1.561
-0.204,-0.513,0.586,-0.204795,-0.512218,0.585212,0.000794693,0.000782218,0.000788435,1.553
-0.261735,-0.455265,0.643735,-0.261031,-0.455982,0.643025,0.000703696,0.000717242,0.000709531,1.56
-0.204,-0.513,0.586,-0.204883,-0.512133,0.586877,0.000882686,0.000867117,0.000876962,1.539
-0.146265,-0.570735,0.528265,-0.147149,-0.569866,0.529145,0.000883603,0.0008695,0.000879886,1.547
-0.204,-0.513,0.586,-0.203131,-0.513885,0.585125,0.000869259,0.000884545,0.000874592,1.53
-0.146265,-0.570735,0.643735,-0.147354,-0.56966,0.642655,0.00108906,0.00107459,0.00108053,1.523
-0.204,-0.513,0.586,-0.203297,-0.513714,0.586709,0.00070349,0.0007145,0.000709397,1.561
-0.146265,-0.455265,0.528265,-0.147131,-0.456146,0.529147,0.000865789,0.000880863,0.000882155,1.531
-0.204,-0.513,0.586,-0.203115,-0.512128,0.585129,0.000885425,0.000871611,0.000871107,1.529
-0.146265,-0.455265,0.643735,-0.146963,-0.455985,0.643031,0.000698138,0.000720458,0.000703785,1.562
-0.204,-0.513,0.586,-0.203282,-0.5123,0.586716,0.000718364,0.000699855,0.000716217,1.568
